3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
3.10.2.74.1	NPAC SMS shall report an error to the NPAC Personnel and reject the addition or modification of Number Pooling NPA-NXX-X Holder information, or the addition of an NPA Split, if validation errors occur as defined in Requirements RR3-63, RR3-64, RR3-65, RR3-85, RR3-92, RR3-96, RR3-99, RR3-100 and RR3-32.  (Previously N-70)
3.10.3.75.1.1	NPAC SMS shall provide a mechanism for NPAC Personnel to select NPAC Origination or SOA Origination for the Block data, when creating NPA-NXX-X Holder information, via the NPAC Administrative Interface. (Previously N-71.1)
3.10.3.75.2.1	NPAC SMS shall provide a mechanism for NPAC Personnel to request NPAC Block Creation for either immediate execution, once the Effective Date has been reached, or at a future date/time, via the NPAC Administrative Interface. (Previously N-71.2)
3.10.3.75.3.1	NPAC SMS shall include the "Scheduled Date/Time for Block Activation" as an entry field in the format of MM/DD/YYYY and HH:MM, for the NPA-NXX-X Holder information via the NPAC Administrative Interface. (Previously N-71.3)
3.10.3.76.1.1	NPAC SMS shall default the value in the "Scheduled Date/Time for Block Activation" field in the NPAC Administrative Interface, to the greater of, the Effective Date and 00:01 (HH:MM) Central Time, or, the current date and time.  (Previously N-72.1)
3.10.3.76.2.1	NPAC SMS shall validate that the "Scheduled Date/Time for Block Activation" field in the NPAC Administrative Interface, is a valid date and time, and is greater than or equal to the NPA-NXX-X Effective Date. (Previously N-72.2)
3.10.3.77.1	NPAC SMS shall use the value in the "Scheduled Date/Time for Block Activation" field as the date and time, in Central Time, that the Block Creation scheduled event will occur, when the NPAC Origination has been selected by NPAC Personnel while creating NPA-NXX-X Holder information, or when re-scheduling a Block Create Event. (Previously N-73)
3.10.3.78.1	NPAC SMS shall require NPAC Personnel to enter applicable Block routing data, via the NPAC Administrative Interface, when the NPAC Origination has been selected by NPAC Personnel while creating NPA-NXX-X Holder information, or when re-scheduling a Block Create Event. (Previously N-74)
3.10.3.79.1.1	NPAC SMS shall perform field-level data validations to ensure that the value formats for the following input data, are valid according to the formats specified in the Block Data Model upon Block creation scheduling for a Number Pool, or when re-scheduling a Block Create Event: (Previously N-75.1)
3.10.3.79.2.1	NPAC SMS shall validate that the LRN specified in the scheduling/re-scheduling of Number Pooling Block Holder information is a valid LRN defined in the NPAC SMS for the Block Holder.  (Previously N-75.2)
3.10.3.80.1.1	NPAC SMS shall provide a mechanism for NPAC Personnel to modify a Block Create Event, that has been previously entered, but not yet executed, via the NPAC Administrative Interface.  (Previously N-76.1)
3.10.3.80.2.1	NPAC SMS shall allow NPAC Personnel to modify the scheduled date/time for an NPAC initiated Block Create Event, to a different date/time, that is on or after the NPA-NXX-X effective date.  (Previously N-76.2)
3.10.3.80.3.1	NPAC SMS shall allow NPAC Personnel to modify the routing data for an NPAC initiated Block Create Event.  (Previously N-76.3)
3.10.3.81.1.1	NPAC SMS shall provide a mechanism for NPAC Personnel to re-schedule a Block Create, for an existing NPA-NXX-X, via the NPAC Administrative Interface.  (Previously N-77.1)
3.10.3.81.2.1	NPAC SMS shall provide a mechanism where the re-schedule of a Block Create, can be immediately executed or scheduled for a future date/time.  (Previously N-77.2)
3.10.3.81.3.1	NPAC SMS shall reject the re-schedule of a Block Create for immediate execution, prior to the effective date of the NPA-NXX-X.  (Previously N-77.3)
3.10.3.82.1.1	NPAC SMS shall allow the re-schedule of a Block Create, if the Block does NOT exist in the NPAC SMS, or if the Block exists with a status of Old without a Failed SP List.  (Previously N-78.1)
3.10.3.82.2.1	NPAC SMS shall only allow a single Block Create Event, that has not been previously executed for this Block, to exist in the NPAC SMS.  (Previously N-78.2)
3.10.3.82.3.1	NPAC SMS shall report an error to the NPAC Personnel and reject the addition or modification of a Number Pooling Block Create Event, if validation errors occur as defined in Requirements RR3-76.2, RR3-78, RR3-79.1, RR3-79.2, RR3-81.3, RR3-82.1, and RR3-82.2.  (Previously N-78.3)
3.10.3.83.1.1	NPAC SMS shall provide an error dialog that displays the unique error message described in RR3-147, and provides an option for the NPAC Personnel to either, exit the Block Create request, or generate the Pending-Like No-Active Subscription Version(s) report, in the report format listed in RR9-11, RR9-12, RR9-13, and RR9-14, to the screen on the NPAC Administrative Interface, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution.  (Previously N-79.1)
3.10.3.83.2.1	NPAC SMS shall, after displaying the Pending-Like No-Active Subscription Version(s) report to the screen, allow the NPAC Personnel to choose an output destination for the report, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution.  (Previously N-79.2)
3.10.3.83.3.1	NPAC SMS shall, continue to display the Pending-Like No-Active Subscription Version(s) report, to the screen, and allow the NPAC Personnel to choose additional output destinations one at a time, for the report, until the NPAC Personnel requests the closure of the report window, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution.  (Previously N-79.3)
3.10.3.83.4.1	NPAC SMS shall provide output destination options for the Pending-Like No-Active Subscription Version(s) Report, based on the error message in RR3-83.1, that include print, fax, e-mail, stored to a file, when NPAC Personnel are re-scheduling a Block Creation request for immediate execution.  (Previously N-79.4)
3.10.4.84.1	NPAC SMS shall require NPAC personnel to specify the NPA-NXX-X Holder SPID, the NPA-NXX-X, and the Effective Date, as defined in the Number Pooling NPA-NXX-X Holder Information data model.  (Previously N-80)
3.10.4.85.1	NPAC SMS shall validate that the NPA-NXX-X Holder SPID is a valid Service Provider in the NPAC SMS.  (Previously N-90)
3.10.4.86.1	NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Creation, if there are any TNs within the 1K Block of that NPA-NXX-X, or in a 1K Block of the corresponding old/new NPA-NXX-X belonging to an NPA-NXX scheduled for or currently in an NPA split, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where a currently active SV does NOT exist, for the given TN.  (Previously N-100)
3.10.4.87.1	NPAC SMS shall reject the request and issue an error message to the NPAC personnel at the time of NPA-NXX-X Creation, if there are any TNs within the 1K Block, that contain an SV, with a status of pending/conflict/cancel-pending/failed, and where the SV is a Port-To-Original port, for the given TN.  (Previously N-110)
3.10.4.88.1.1	NPAC SMS shall provide an error dialog that displays the unique error message described in RR3-86 and RR3-87, and provides an option for the NPAC Personnel to either, exit the NPA-NXX-X Create request, or generate the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, in the report format listed in RR9-11, RR9-12, RR9-13, and RR9-14, to the screen on the NPAC Administrative Interface.  (Previously N-130.1)
3.10.4.88.2.1	NPAC SMS shall, after displaying the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, allow the NPAC Personnel to choose an output destination for the report. (Previously N-130.2)
3.10.4.88.3.1	NPAC SMS shall, continue to display the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, to the screen, and allow the NPAC Personnel to choose additional output destinations one at a time, for the report, until the NPAC Personnel requests the closure of the report window. (Previously N-130.3)
3.10.4.89.1	NPAC SMS shall provide output destination options, as listed in R9-2, for the Pending-Like No-Active Subscription Version(s) and Pending-Like Port-to-Original Subscription Version(s) Report, based on the error condition in RR3-88.1. (Previously N-131)
3.10.4.90.1	NPAC SMS shall provide a NPA-NXX-X Holder Effective Date Window tunable parameter which is defined as the minimum length of time between the current date (exclusive) and the effective date (inclusive), when Creating a NPA-NXX-X in the NPAC SMS.  (Previously N-140)
3.10.4.91.1	NPAC SMS shall default the NPA-NXX-X Holder Effective Date Window tunable parameter to five (5) business days.
3.10.4.92.1	NPAC SMS shall verify that the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the current date plus the value of the NPA-NXX-X Holder Effective Date Window tunable parameter, excluding those automatically created by NPA Split processing.  (Previously N-160)
3.10.4.93.1	NPAC SMS shall set the time portion of the Effective Date Timestamp to 00:00 Central Time, and not allow the NPAC Personnel to modify the Time portion of the Effective Date, on the NPAC Administrative Interface. (Previously N-170)
3.10.4.94.1	NPAC SMS shall, upon successful validation, store the NPA-NXX-X in the NPAC SMS, and broadcast the NPA-NXX-X to the Service Providers. (Previously N-180)
3.10.5.95.1	NPAC SMS shall allow NPAC personnel to modify the effective date for an NPA-NXX-X as stored in the NPAC SMS via the NPAC Administrative Interface. (Previously N-190)
3.10.5.96.1	NPAC SMS shall allow the NPAC personnel to modify the effective date for an NPA-NXX-X if the current date is less than the effective date for the NPA-NXX-X. (Previously N-200)
3.10.5.97.1	NPAC SMS shall, upon modifying the effective date for an NPA-NXX-X, and where the Block Creation was a scheduled event within the NPAC SMS, also modify the corresponding date for that Block Create scheduled event. (Previously N-210)
3.10.5.98.1	NPAC SMS shall allow the NPAC SMS Administrator to modify the NPA-NXX-X Holder Effective Date Window tunable parameter. (Previously N-220)
3.10.5.99.1	NPAC SMS shall verify that the modification of the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the current date.  (Previously N-225)
3.10.5.100.1	NPAC SMS shall verify that the modification of the Effective Date for the NPA-NXX-X Holder data is equal to, or greater than, the NPA-NXX-X Holder creation date plus the value of the NPA-NXX-X Holder Effective Date Window tunable parameter.  (Previously N-230)
3.10.5.101.1	NPAC SMS shall, upon successful validation, store the updates to the NPA-NXX-X in the NPAC SMS, and broadcast the updated NPA-NXX-X to the Service Providers.  (Previously N-235)
3.10.6.102.1	NPAC SMS shall allow NPAC personnel to delete the NPA-NXX-X holder information for an NPA-NXX-X as stored in the NPAC SMS. (Previously N-240)
